"fund","weight in portfolio","portfolio value","reporting date","bond","weight","country","issuer","maturity","rating"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tervita 144A 8%",0.48,"CAN","TERVITA CORP","15/11/2018","CCC1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Lbc Tank Terms Hldg Neth Bv 144A 6.875%",0.41,"NLD","LBC TANK TERMINA","15/5/2023","B3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Citgo Pete 144A 6.25%",0.36,"USA","CITGO PETROLEUM","15/8/2022","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Sabine Pass Liquefaction 6.25%",0.34,"USA","SABINE PASS LIQU","15/3/2022","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Sabine Pass Liquefaction 5.625%",0.33,"USA","SABINE PASS LIQU","15/4/2023","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Global Partners / Glp Fin 7%",0.3,"USA","GLOB PART/GLP FI","15/6/2023","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Cvr Refng Llc/Coffeyville Fin 6.5%",0.24,"USA","CVR REF/COFF FIN","1/11/2022","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Sabine Pass Liquefaction 5.75%",0.22,"USA","SABINE PASS LIQU","15/5/2024","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Chesapeake Engy 4.875%",0.18,"USA","CHESAPEAKE ENRGY","15/4/2022","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Crestwood Midstream Prtnrs 6%",0.17,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Hilcorp Engy I L P / Hilcorp 144A 5%",0.17,"USA","HILCORP ENERGY I","1/12/2024","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Chesapeake Engy 5.375%",0.16,"USA","CHESAPEAKE ENRGY","15/6/2021","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Endeavor Engy Resource/Fin 144A 7%",0.15,"USA","ENDEAVOR ENERGY","15/8/2021","CCC3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tesoro Logistics Lp / 6.125%",0.15,"USA","TES LOG LP/CORP","15/10/2021","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Antero Res Fin 5.375%",0.14,"USA","ANTERO RESOURCES","1/11/2021","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Ferrellgas L P / Ferrellgas 6.5%",0.14,"USA","FERRELLGAS LP","1/5/2021","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Linn Engy 6.25%",0.14,"USA","LINN ENERGY LLC","1/11/2019","CC"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Everest Acq Llc/Finance 9.375%",0.13,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Sabine Pass Liquefaction 5.625%",0.13,"USA","SABINE PASS LIQU","1/2/2021","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tesoro Logistics Lp / 5.875%",0.13,"USA","TES LOG LP/CORP","1/10/2020","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Amerigas Fin Corp / 7%",0.12,"USA","AMERIGAS FINANCE","20/5/2022","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Semgroup 7.5%",0.12,"USA","SEMGROUP CORP","15/6/2021","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Targa Res Partners / Targa Res 6.875%",0.12,"USA","TARGA RES PRTNRS","1/2/2021","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tervita 144A 9.75%",0.12,"CAN","TERVITA CORP","1/11/2019","CCC3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","California Res 5%",0.11,"USA","CALIFORNIA RESOU","15/1/2020","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Targa Res Partners / Targa R 144A 6.625%",0.11,"USA","TARGA RES PRTNRS","1/10/2020","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Antero Res 144A 5.625%",0.1,"USA","ANTERO RESOURCES","1/6/2023","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Chesapeake Engy 6.125%",0.1,"USA","CHESAPEAKE ENRGY","15/2/2021","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Targa Res Partners / Targa Res 4.25%",0.1,"USA","TARGA RES PRTNRS","15/11/2023","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tervita 144A 10.875%",0.1,"CAN","TERVITA CORP","15/2/2018","CCC3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","California Res 0.12%",0.09,"USA","CALIFORNIA RESOU","15/11/2024","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Hilcorp Engy I L P / Hilcorp 144A 5.75%",0.09,"USA","HILCORP ENERGY I","1/10/2025","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Northern Tier Engy 7.125%",0.09,"USA","NORTHERN TIER EN","15/11/2020","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Baytex Engy 144A 5.625%",0.08,"CAN","BAYTEX ENERGY","1/6/2024","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Compressco Partners Lp/Finance 7.25%",0.08,"USA","COMPRESSCO PARTN","15/8/2022","B3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Gulfmark Offshore 6.375%",0.08,"USA","GULFMARK OFFSHOR","15/3/2022","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Sunoco Lp/Sunoco Fin 144A 6.375%",0.08,"USA","SUNOCO LP/FIN","1/4/2023","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Tesoro Logistics Lp / 144A 6.25%",0.08,"USA","TES LOG LP/CORP","15/10/2022","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Amerigas Fin Corp / 6.75%",0.07,"USA","AMERIGAS FINANCE","20/5/2020","BB2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Amerigas Partners L P 6.25%",0.07,"USA","AMERIGAS PARTNER","20/8/2019","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Ngl Engy Partners 5.125%",0.07,"USA","NGL ENRGY PART/F","15/7/2019","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Baytex Engy 144A 5.125%",0.06,"CAN","BAYTEX ENERGY","1/6/2021","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Crestwood Midstream Prtnrs 6.125%",0.06,"USA","CRSTWD PART/FIN","1/3/2022","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Crestwood Midstream Prtnrs 144A 6.25%",0.06,"USA","CRESTWOOD MIDSTR","1/4/2023","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Halcon Res 144A 8.625%",0.06,"USA","HALCON RESOURCES","1/2/2020","CCC1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Targa Res Partners / Targa Res 5.25%",0.06,"USA","TARGA RES PRTNRS","1/5/2023","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Amerigas Partners L P 6.5%",0.05,"USA","AMERIGAS PARTNER","20/5/2021","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Chesapeake Engy 5.75%",0.05,"USA","CHESAPEAKE ENRGY","15/3/2023","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Rose Rock Midstream Lp/ Rose R 5.625%",0.05,"USA","ROSE ROCK MID/FI","15/7/2022","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Targa Res Partners / Targa Res 6.375%",0.05,"USA","TARGA RES PRTNRS","1/8/2022","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Western Refng Logistics 7.5%",0.05,"USA","WESTERN REFINING","15/2/2023","B3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Chesapeake Engy 6.875%",0.04,"USA","CHESAPEAKE ENRGY","15/11/2020","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Everest Acq Llc/Finance 7.75%",0.04,"USA","EP ENER/EVEREST","1/9/2022","CCC1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Linn Engy 6.5%",0.04,"USA","LINN ENERGY LLC","15/5/2019","CC"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Pacific Drilling S A 144A 5.375%",0.04,"LUX","PACIFIC DRILLING","1/6/2020","CCC1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Antero Res 5.125%",0.03,"USA","ANTERO RESOURCES","1/12/2022","BB3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Endeavor Engy Resource/Fin 144A 0.09%",0.03,"USA","ENDEAVOR ENERGY","15/9/2023","CCC3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Petrobakken Engy 144A 8.625%",0.03,"CAN","LIGHTSTREAM","1/2/2020","CCC3"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Global Partners / Glp Fin 6.25%",0.02,"USA","GLOB PART/GLP FI","15/7/2022","B2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Denbury Res 5.5%",0.01,"USA","DENBURY RESOURCE","1/5/2022","CCC2"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Hornbeck Offshore Svcs Inc New 0.01%",0.01,"USA","HORNBECK OFF","1/4/2020","B1"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Linn Engy 8.625%",0.01,"USA","LINN ENERGY LLC","15/4/2020","CC"
"Fidelity® High Income",7.31,4683910903,"31/10/2015","Teine Engy 144A 6.875%",0.01,"CAN","TEINE ENERGY LTD","30/9/2022","B3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Lbc Tank Terms Hldg Neth Bv 144A 6.875%",0.55,"NLD","LBC TANK TERMINA","15/5/2023","B3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tervita 144A 8%",0.48,"CAN","TERVITA CORP","15/11/2018","CCC1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Sabine Pass Liquefaction 6.25%",0.32,"USA","SABINE PASS LIQU","15/3/2022","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Sabine Pass Liquefaction 5.625%",0.29,"USA","SABINE PASS LIQU","15/4/2023","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Citgo Pete 144A 6.25%",0.28,"USA","CITGO PETROLEUM","15/8/2022","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Cvr Refng Llc/Coffeyville Fin 6.5%",0.26,"USA","CVR REF/COFF FIN","1/11/2022","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Sabine Pass Liquefaction 5.75%",0.23,"USA","SABINE PASS LIQU","15/5/2024","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Global Partners / Glp Fin 7%",0.21,"USA","GLOB PART/GLP FI","15/6/2023","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Sabine Pass Liquefaction 5.625%",0.21,"USA","SABINE PASS LIQU","1/2/2021","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Endeavor Engy Resource/Fin 144A 7%",0.18,"USA","ENDEAVOR ENERGY","15/8/2021","CCC3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tesoro Logistics Lp / 6.125%",0.18,"USA","TES LOG LP/CORP","15/10/2021","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Chesapeake Engy 5.375%",0.17,"USA","CHESAPEAKE ENRGY","15/6/2021","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Chesapeake Engy 4.875%",0.16,"USA","CHESAPEAKE ENRGY","15/4/2022","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tervita 144A 10.875%",0.16,"CAN","TERVITA CORP","15/2/2018","CCC3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Crestwood Midstream Prtnrs 6%",0.15,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Hilcorp Engy I L P / Hilcorp 144A 5%",0.15,"USA","HILCORP ENERGY I","1/12/2024","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Semgroup 7.5%",0.15,"USA","SEMGROUP CORP","15/6/2021","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Targa Res Partners / Targa R 144A 6.625%",0.15,"USA","TARGA RES PRTNRS","1/10/2020","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Antero Res Fin 5.375%",0.14,"USA","ANTERO RESOURCES","1/11/2021","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Linn Engy 6.25%",0.13,"USA","LINN ENERGY LLC","1/11/2019","CC"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tervita 144A 9.75%",0.13,"CAN","TERVITA CORP","1/11/2019","CCC3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Amerigas Partners L P 6.25%",0.12,"USA","AMERIGAS PARTNER","20/8/2019","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Ferrellgas L P / Ferrellgas 6.5%",0.12,"USA","FERRELLGAS LP","1/5/2021","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Antero Res 144A 5.625%",0.11,"USA","ANTERO RESOURCES","1/6/2023","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Chesapeake Engy 6.125%",0.11,"USA","CHESAPEAKE ENRGY","15/2/2021","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Northern Tier Engy 7.125%",0.11,"USA","NORTHERN TIER EN","15/11/2020","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Baytex Engy 144A 5.625%",0.1,"CAN","BAYTEX ENERGY","1/6/2024","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","California Res 5%",0.1,"USA","CALIFORNIA RESOU","15/1/2020","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Targa Res Partners / Targa Res 4.25%",0.1,"USA","TARGA RES PRTNRS","15/11/2023","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tesoro Logistics Lp / 5.875%",0.1,"USA","TES LOG LP/CORP","1/10/2020","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Amerigas Fin Corp / 7%",0.09,"USA","AMERIGAS FINANCE","20/5/2022","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","California Res 0.12%",0.09,"USA","CALIFORNIA RESOU","15/11/2024","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Crestwood Midstream Prtnrs 6.125%",0.09,"USA","CRSTWD PART/FIN","1/3/2022","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Targa Res Partners / Targa Res 6.375%",0.09,"USA","TARGA RES PRTNRS","1/8/2022","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Targa Res Partners / Targa Res 5.25%",0.09,"USA","TARGA RES PRTNRS","1/5/2023","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Tesoro Logistics Lp / 144A 6.25%",0.09,"USA","TES LOG LP/CORP","15/10/2022","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Amerigas Fin Corp / 6.75%",0.08,"USA","AMERIGAS FINANCE","20/5/2020","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Baytex Engy 144A 5.125%",0.08,"CAN","BAYTEX ENERGY","1/6/2021","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Everest Acq Llc/Finance 9.375%",0.08,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Hilcorp Engy I L P / Hilcorp 144A 5.75%",0.08,"USA","HILCORP ENERGY I","1/10/2025","BB2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Gulfmark Offshore 6.375%",0.07,"USA","GULFMARK OFFSHOR","15/3/2022","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Rose Rock Midstream Lp/ Rose R 5.625%",0.07,"USA","ROSE ROCK MID/FI","15/7/2022","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Chesapeake Engy 6.875%",0.06,"USA","CHESAPEAKE ENRGY","15/11/2020","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Crestwood Midstream Prtnrs 144A 6.25%",0.06,"USA","CRESTWOOD MIDSTR","1/4/2023","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Halcon Res 144A 8.625%",0.06,"USA","HALCON RESOURCES","1/2/2020","CCC1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Ngl Engy Partners 5.125%",0.06,"USA","NGL ENRGY PART/F","15/7/2019","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Western Refng Logistics 7.5%",0.06,"USA","WESTERN REFINING","15/2/2023","B3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Linn Engy 6.5%",0.05,"USA","LINN ENERGY LLC","15/5/2019","CC"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Everest Acq Llc/Finance 7.75%",0.04,"USA","EP ENER/EVEREST","1/9/2022","CCC1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Antero Res 5.125%",0.03,"USA","ANTERO RESOURCES","1/12/2022","BB3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Endeavor Engy Resource/Fin 144A 0.09%",0.03,"USA","ENDEAVOR ENERGY","15/9/2023","CCC3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Global Partners / Glp Fin 6.25%",0.03,"USA","GLOB PART/GLP FI","15/7/2022","B2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Petrobakken Engy 144A 8.625%",0.03,"CAN","LIGHTSTREAM","1/2/2020","CCC3"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Denbury Res 5.5%",0.01,"USA","DENBURY RESOURCE","1/5/2022","CCC2"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Hornbeck Offshore Svcs Inc New 0.01%",0.01,"USA","HORNBECK OFF","1/4/2020","B1"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Linn Engy 8.625%",0.01,"USA","LINN ENERGY LLC","15/4/2020","CC"
"Fidelity® Series High Income",7.2,5412230373,"31/10/2015","Teine Engy 144A 6.875%",0.01,"CAN","TEINE ENERGY LTD","30/9/2022","B3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Antero Res 144A 5.625%",1.08,"USA","ANTERO RESOURCES","1/6/2023","BB3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Citgo Pete 144A 6.25%",1,"USA","CITGO PETROLEUM","15/8/2022","B1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Parker Drilling 6.75%",0.96,"USA","PARKER DRILLING","15/7/2022","B3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Global Partners / Glp Fin 6.25%",0.9,"USA","GLOB PART/GLP FI","15/7/2022","B2"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Precision Drilling 6.5%",0.88,"CAN","PRECISION DRILL","15/12/2021","BB2"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Crestwood Midstream Prtnrs 6.125%",0.76,"USA","CRSTWD PART/FIN","1/3/2022","B1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Everest Acq Llc/Finance 9.375%",0.76,"USA","EP ENER/EVEREST","1/5/2020","CCC1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Jupiter Resources 144A 8.5%",0.76,"CAN","JUPITER RES INC","1/10/2022","CCC2"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Atwood Oceanics 6.5%",0.64,"USA","ATWOOD OCEANICS","1/2/2020","BB3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Enquest 144A 7%",0.64,"GBR","ENQUEST PLC","15/4/2022","CCC2"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Northern Blizzard Res 144A 7.25%",0.6,"CAN","NORTH BLIZZARD","1/2/2022","B3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Antero Res Fin 5.375%",0.49,"USA","ANTERO RESOURCES","1/11/2021","BB3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Genesis Engy Lp/ Genesis Fin 6%",0.42,"USA","GENESIS ENERGY","15/5/2023","B1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Petrobakken Engy 144A 8.625%",0.3,"CAN","LIGHTSTREAM","1/2/2020","CCC3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Atlas Engy Hldgs Op Co/ Fin 7.75%",0.22,"USA","ATLAS EN HLDS/FI","15/1/2021","CCC3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Atlas Engy Hldgs Op Co/ Fin 9.25%",0.18,"USA","ATLAS EN HLDS/FI","15/8/2021","CCC3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Basic Engy Svcs Inc New 7.75%",0.16,"USA","BASIC ENERGY SVC","15/10/2022","CCC1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Rex Engy Corporation 8.875%",0.16,"USA","REX ENERGY CORP","1/12/2020","C"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Basic Engy Svcs Inc New 7.75%",0.15,"USA","BASIC ENERGY SVC","15/2/2019","CCC1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Parker Drilling 7.5%",0.14,"USA","PARKER DRILLING","1/8/2020","B3"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Rex Engy Corporation 6.25%",0.12,"USA","REX ENERGY CORP","1/8/2022","C"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Crestwood Midstream Prtnrs 6%",0.07,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Carrizo Oil & Gas 6.25%",0.06,"USA","CARRIZO OIL&GAS","15/4/2023","B2"
"First Eagle High Yield I",11.48,618284872,"31/12/2015","Targa Res Partners / Targa Re 144A 6.75%",0.03,"USA","TARGA RES PRTNRS","15/3/2024","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Sabine Pass Liquefaction 5.75%",0.52,"USA","SABINE PASS LIQU","15/5/2024","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Sabine Pass Liquefaction 6.25%",0.49,"USA","SABINE PASS LIQU","15/3/2022","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Unit 6.625%",0.32,"USA","UNIT CORP","15/5/2021","B1"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Gibson Engy 144A 6.75%",0.31,"CAN","GIBSON ENERGY","15/7/2021","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Calumet Specialty Prods Partn 144A 7.75%",0.3,"USA","CALUMET SPECIAL","15/4/2023","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Laredo Petro 5.625%",0.25,"USA","LAREDO PETROLEUM","15/1/2022","B3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Forum Engy Tech 6.25%",0.24,"USA","FORUM ENERGY TEC","1/10/2021","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Calumet Specialty Prods Partne 6.5%",0.22,"USA","CALUMET SPECIAL","15/4/2021","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Hilcorp Engy I L P / Hilcorp 144A 5.75%",0.22,"USA","HILCORP ENERGY I","1/10/2025","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Matador Res 6.875%",0.2,"USA","MATADOR RESOURC","15/4/2023","B3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Nustar Logistics L P 6.75%",0.2,"USA","NUSTAR LOGISTICS","1/2/2021","BB1"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Amerigas Fin Corp / 7%",0.19,"USA","AMERIGAS FINANCE","20/5/2022","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Blue Racer Midstream Llc/ Bl 144A 6.125%",0.19,"USA","BLUE RACER MID/F","15/11/2022","B3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Sabine Pass Liquefaction 5.625%",0.19,"USA","SABINE PASS LIQU","15/4/2023","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Genesis Engy Lp/ Genesis Fin 6.75%",0.18,"USA","GENESIS ENERGY","1/8/2022","B1"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Exterran Partners Lp/ Exlp Fin 6%",0.17,"USA","EXTERRAN PARTNER","1/10/2022","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Ferrellgas L P / Ferrellgas 144A 6.75%",0.16,"USA","FERRELLGAS LP","15/6/2023","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Memorial Prodtn Partners 7.625%",0.14,"USA","MEM PROD PART LP","1/5/2021","CCC2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Sm Engy 6.5%",0.14,"USA","SM ENERGY CO","15/11/2021","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Eclipse Res 144A 8.875%",0.13,"USA","ECLIPSE RESOURCE","15/7/2023","CCC3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Genesis Engy Lp/ Genesis Fin 6%",0.13,"USA","GENESIS ENERGY","15/5/2023","B1"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Antero Res Fin 5.375%",0.12,"USA","ANTERO RESOURCES","1/11/2021","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Amerigas Fin Corp / 6.75%",0.11,"USA","AMERIGAS FINANCE","20/5/2020","BB2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Crestwood Midstream Prtnrs 144A 6.25%",0.1,"USA","CRESTWOOD MIDSTR","1/4/2023","B1"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Tesoro Logistics Lp / 144A 6.25%",0.1,"USA","TES LOG LP/CORP","15/10/2022","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Antero Res Fin 6%",0.09,"USA","ANTERO RESOURCES","1/12/2020","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Sm Engy 5.625%",0.09,"USA","SM ENERGY CO","1/6/2025","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Calumet Specialty Prods Partne 7.625%",0.07,"USA","CALUMET SPECIAL","15/1/2022","B2"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Rex Engy Corporation 6.25%",0.07,"USA","REX ENERGY CORP","1/8/2022","C"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Suburban Propane Partners L P 7.375%",0.06,"USA","SUBURBAN PROPANE","1/8/2021","BB3"
"First Investors Fund For Income A",5.75,652606841,"31/12/2015","Nustar Logistics L P 4.8%",0.05,"USA","NUSTAR LOGISTICS","1/9/2020","BB1"
"Forward High Yield Bond Institutional",10.69,77098673,"31/1/2016","Crestwood Midstream Prtnrs 6%",2.73,"USA","CRESTWOOD MIDSTR","15/12/2020","B1"
