"","Fund_Name","WiP","weightedOAS","portfolioVal","chartName"
"261","Eaton Vance Income Fund of Boston A",9.48,986.376582278481,5245296413,"Eaton
Vance
Income
Fund
of
Boston
A"
"262","Eaton Vance Short Duration Gov Inc A",0,NA,558991608,"Eaton
Vance
Short
Duration
Gov
Inc
A"
"263","Eaton Vance Short Duration High Income I",0.5,969.18,53124401,"Eaton
Vance
Short
Duration
High
Income
I"
"264","Eaton Vance Short Duration Strat Inc B",0.96,1557.36458333333,3152192943,"Eaton
Vance
Short
Duration
Strat
Inc
B"
"265","Elfun Diversified",0.16,1944.375,201091453,"Elfun
Diversified"
"266","Elfun Income",0.51,1651.74509803922,268080352,"Elfun
Income"
"267","Epiphany FFV Strategic Income A",0.59,1283,23825338,"Epiphany
FFV
Strategic
Income
A"
"268","EQ/Core Bond Index IB",0.12,801.166666666667,8328994874,"EQ/Core
Bond
Index
IB"
"269","EQ/Global Bond PLUS IA",0.11,928.636363636364,320594443,"EQ/Global
Bond
PLUS
IA"
"270","EQ/High Yield Bond IB",5.46,1531.94139194139,144810602,"EQ/High
Yield
Bond
IB"
"271","EQ/PIMCO Ultra Short Bond IB",0.17,2160,1138047076,"EQ/PIMCO
Ultra
Short
Bond
IB"
"272","EQ/Quality Bond PLUS IA",0.05,1509.6,1510768142,"EQ/Quality
Bond
PLUS
IA"
"273","Fairholme Focused Income",6.5,3910.22307692308,241458617,"Fairholme
Focused
Income"
"274","Fallen Angels Income",0,NA,11385194,"Fallen
Angels
Income"
"275","FCI Bond",0.87,767,43043483,"FCI
Bond"
"276","FDP BlackRock Franklin Temp TtlRet Inv A",0.46,1401.52173913043,237325112,"FDP
BlackRock
Franklin
Temp
TtlRet
Inv
A"
"277","Federated Bond F",0.09,979,1091810640,"Federated
Bond
F"
"278","Federated Floating Rate Strat Inc Instl",0.15,1501.46666666667,516811885,"Federated
Floating
Rate
Strat
Inc
Instl"
"279","Federated Global Allocation A",0.01,799,517535239,"Federated
Global
Allocation
A"
"280","Federated High Yield Service",7.73,1720.03751617076,773937860,"Federated
High
Yield
Service"
"281","Federated High-Income Bond A",8.9,1870.56853932584,809586365,"Federated
High-Income
Bond
A"
"282","Federated Instl High Yield Bond Instl",8.26,1649.70944309927,4228407610,"Federated
Instl
High
Yield
Bond
Instl"
"283","Federated Intermediate Corp Bd Instl",0.52,1062.94230769231,188367105,"Federated
Intermediate
Corp
Bd
Instl"
"284","Federated Short-Interm Ttl Ret Bd Instl",0.99,1005.94949494949,249503222,"Federated
Short-Interm
Ttl
Ret
Bd
Instl"
"285","Federated Strategic Income A",0.04,1077,751641346,"Federated
Strategic
Income
A"
"286","Federated Total Return Bond Instl",0.1,1032.4,7335274582,"Federated
Total
Return
Bond
Instl"
"287","Fidelity Advisor Asset Manager® 30% A",0.37,872.648648648649,889267490,"Fidelity
Advisor
Asset
Manager®
30%
A"
"288","Fidelity Advisor Asset Manager® 40% A",0.31,862.516129032258,1033833217,"Fidelity
Advisor
Asset
Manager®
40%
A"
"289","Fidelity Advisor Asset Manager® 60% A",0.23,860.086956521739,1446016601,"Fidelity
Advisor
Asset
Manager®
60%
A"
"290","Fidelity Advisor® Balanced A LW",0.06,1114.16666666667,2125002973,"Fidelity
Advisor®
Balanced
A
LW"
"291","Fidelity Advisor® Corporate Bond A",2.39,920.376569037657,1029907063,"Fidelity
Advisor®
Corporate
Bond
A"
"292","Fidelity Advisor® Equity Income I",0.03,471,1944330501,"Fidelity
Advisor®
Equity
Income
I"
"293","Fidelity Advisor® Floating Rate Hi Inc A",0.22,711.045454545455,10752809002,"Fidelity
Advisor®
Floating
Rate
Hi
Inc
A"
"294","Fidelity Advisor® Global Bond A",0.13,1840.61538461538,38842703,"Fidelity
Advisor®
Global
Bond
A"
"295","Fidelity Advisor® Global High Income A",6.45,1964.07596899225,119008556,"Fidelity
Advisor®
Global
High
Income
A"
"296","Fidelity Advisor® High Income A",9.33,1838.73954983923,766304918,"Fidelity
Advisor®
High
Income
A"
"297","Fidelity Advisor® High Income Advtg A",6.94,2267.35590778098,1987113310,"Fidelity
Advisor®
High
Income
Advtg
A"
"298","Fidelity Advisor® Leveraged Co Stk A",0.08,3251,4054345769,"Fidelity
Advisor®
Leveraged
Co
Stk
A"
"299","Fidelity Advisor® Limited Term Bond I",0.86,1162.8023255814,1868174002,"Fidelity
Advisor®
Limited
Term
Bond
I"
"300","Fidelity Advisor® New Insights A",0.06,5701,24889559649,"Fidelity
Advisor®
New
Insights
A"
"301","Fidelity Advisor® Series Short-Term Crdt",0.03,2160,165404756,"Fidelity
Advisor®
Series
Short-Term
Crdt"
"302","Fidelity Advisor® Short Dur Hi Inc A",7.77,2533.76061776062,64509703,"Fidelity
Advisor®
Short
Dur
Hi
Inc
A"
"303","Fidelity Advisor® Short Fxd-Inc T",0.03,2160,834650784,"Fidelity
Advisor®
Short
Fxd-Inc
T"
"304","Fidelity Advisor® Strategic Div & Inc® A",0.25,604.6,3824018423,"Fidelity
Advisor®
Strategic
Div
&
Inc®
A"
"305","Fidelity Advisor® Strategic Income B",0.37,4320.54054054054,5579625383,"Fidelity
Advisor®
Strategic
Income
B"
"306","Fidelity Asset Manager® 20%",0.37,872.648648648649,4679494163,"Fidelity
Asset
Manager®
20%"
"307","Fidelity Asset Manager® 50%",0.29,875.137931034483,7494483857,"Fidelity
Asset
Manager®
50%"
"308","Fidelity Asset Manager® 70%",0.16,895.875,4111868288,"Fidelity
Asset
Manager®
70%"
"309","Fidelity Asset Manager® 85%",0.05,676,1542069311,"Fidelity
Asset
Manager®
85%"
"310","Fidelity Spartan® US Bond Idx Investor",0.16,841.25,21257902458,"Fidelity
Spartan®
US
Bond
Idx
Investor"
"311","Fidelity® Balanced",0.05,1220.4,25943031251,"Fidelity®
Balanced"
"312","Fidelity® Capital & Income",4.31,1743.72621809745,10747724421,"Fidelity®
Capital
&
Income"
"313","Fidelity® Equity-Income",0.03,471,7359765051,"Fidelity®
Equity-Income"
"314","Fidelity® Focused High Income",8.16,1307.25612745098,733051765,"Fidelity®
Focused
High
Income"
"315","Fidelity® High Income",7.31,2682.31326949384,4683910903,"Fidelity®
High
Income"
"316","Fidelity® Intermediate Bond",0.67,798.686567164179,3118737722,"Fidelity®
Intermediate
Bond"
"317","Fidelity® Investment Grade Bond",1.29,2080.04651162791,7240143649,"Fidelity®
Investment
Grade
Bond"
"318","Fidelity® Leveraged Company Stock",0.08,3251,4244341880,"Fidelity®
Leveraged
Company
Stock"
"319","Fidelity® Mid-Cap Stock",0.1,5701,6640793053,"Fidelity®
Mid-Cap
Stock"
"320","Fidelity® New Millennium",0.11,11517,2876730527,"Fidelity®
New
Millennium"
"321","Fidelity® Puritan®",0.05,1220.4,22168375681,"Fidelity®
Puritan®"
"322","Fidelity® Series Emerging Markets Debt",0.19,1143,991686136,"Fidelity®
Series
Emerging
Markets
Debt"
"323","Fidelity® Series High Income",7.2,2869.93888888889,5412230373,"Fidelity®
Series
High
Income"
"324","Fidelity® Series Investment Grade Bond",0.87,910.908045977012,24712534890,"Fidelity®
Series
Investment
Grade
Bond"
"325","Fidelity® Series Short-Term Credit",0.06,1935.5,1529097784,"Fidelity®
Series
Short-Term
Credit"
"326","Fidelity® Short-Term Bond",0.04,1823.25,5263626464,"Fidelity®
Short-Term
Bond"
"327","Fidelity® Strategic Income",0.28,5365.21428571429,4839162431,"Fidelity®
Strategic
Income"
"328","Fidelity® Total Bond",0.58,1291.94827586207,19515990692,"Fidelity®
Total
Bond"
"329","Fidelity® Value Strategies",2.78,1202.73741007194,1244387459,"Fidelity®
Value
Strategies"
"330","First Eagle Global Income Builder A",3.97,1730.95214105793,1202742249,"First
Eagle
Global
Income
Builder
A"
"331","First Eagle High Yield I",11.48,3225.64111498258,618284872,"First
Eagle
High
Yield
I"
"332","First Eagle US Value A",0.28,587,2271680185,"First
Eagle
US
Value
A"
"333","First Investors Floating Rate Instl",0,NA,120729644,"First
Investors
Floating
Rate
Instl"
"334","First Investors Fund For Income A",5.75,1241.55826086957,652606841,"First
Investors
Fund
For
Income
A"
"335","First Investors Investment Grade A",2.89,634.674740484429,542476723,"First
Investors
Investment
Grade
A"
"336","First Investors Total Return A",0.65,644.6,854424942,"First
Investors
Total
Return
A"
"337","First Trust Short Duration High Inc A",0.7,1942.42857142857,182073960,"First
Trust
Short
Duration
High
Inc
A"
"338","First Western Shrt Dur Hi Yld Crdt Instl",7.69,2024.8855656697,40285803,"First
Western
Shrt
Dur
Hi
Yld
Crdt
Instl"
"339","Fortress Long/Short Credit Adv",9.62,749.158004158004,1974811,"Fortress
Long/Short
Credit
Adv"
"340","Forward High Yield Bond Institutional",10.69,1856.61365762395,77098673,"Forward
High
Yield
Bond
Institutional"
"341","Forward Select Opportunity A",1.95,4888,12526543,"Forward
Select
Opportunity
A"
"342","FPA Capital",0.97,2980,773210999,"FPA
Capital"
"343","FPA Crescent",0.19,2471.47368421053,18119836706,"FPA
Crescent"
"344","FPA New Income",0.64,2980,5348623195,"FPA
New
Income"
"345","Franklin All Cap Value A",1.97,2438,46807572,"Franklin
All
Cap
Value
A"
"346","Franklin Balanced A",1.31,1840.72519083969,3057144000,"Franklin
Balanced
A"
"347","Franklin High Income A",12.22,4424.16857610475,4579388243,"Franklin
High
Income
A"
"348","Franklin Income A",4.08,6720.68137254902,76369384774,"Franklin
Income
A"
"349","Franklin K2 Alternative Strategies A",0.94,4672.84042553191,477194719,"Franklin
K2
Alternative
Strategies
A"
"350","Franklin Low Duration Total Return A",0.28,5905.28571428571,2455901493,"Franklin
Low
Duration
Total
Return
A"
"351","Franklin Mutual Global Discovery Z",0.25,1024,23809396204,"Franklin
Mutual
Global
Discovery
Z"
"352","Franklin Mutual Quest Z",0.3,1024,5126468561,"Franklin
Mutual
Quest
Z"
"353","Franklin Mutual Shares Z",0.28,1024,14665199884,"Franklin
Mutual
Shares
Z"
"354","Franklin Real Return A",0.96,2042.35416666667,259505946,"Franklin
Real
Return
A"
"355","Franklin Small Cap Value A",0.57,2438,2056335292,"Franklin
Small
Cap
Value
A"
"356","Franklin Strategic Income A",2.85,4322.56140350877,7721189169,"Franklin
Strategic
Income
A"
"357","Franklin Total Return A",0.55,3880.18181818182,4491886407,"Franklin
Total
Return
A"
"358","Frost Credit Institutional",1.97,956.172588832487,89118596,"Frost
Credit
Institutional"
"359","Frost Total Return Bond Inst",1.95,1723.90769230769,1741095285,"Frost
Total
Return
Bond
Inst"
"360","GE Instl Income Inv",0.52,1633.19230769231,265736021,"GE
Instl
Income
Inv"
"361","GE Instl Strategic Investment Inv",0.18,1864.22222222222,722718074,"GE
Instl
Strategic
Investment
Inv"
"362","GE RSP Income",0.48,1694.83333333333,2279827503,"GE
RSP
Income"
"363","George Putnam Balanced A",0.01,813,1266195513,"George
Putnam
Balanced
A"
"364","GMO Implementation",0.11,858.727272727273,16157152614,"GMO
Implementation"
"365","Gold Bullion Strategy Investor",0.31,1011,36579334,"Gold
Bullion
Strategy
Investor"
"366","Goldman Sachs Bond A",0.15,1127.8,394372628,"Goldman
Sachs
Bond
A"
"367","Goldman Sachs Core Fixed Income Instl",0.11,751.181818181818,1063740314,"Goldman
Sachs
Core
Fixed
Income
Instl"
"368","Goldman Sachs Global Income A",0,NA,682870977,"Goldman
Sachs
Global
Income
A"
"369","Goldman Sachs High Yield A",8.59,1991.23632130384,3977295841,"Goldman
Sachs
High
Yield
A"
"370","Goldman Sachs High Yield Fl Rate A",0.16,612,3192492390,"Goldman
Sachs
High
Yield
Fl
Rate
A"
"371","Goldman Sachs Income Builder A",3.34,1302.84730538922,2211114762,"Goldman
Sachs
Income
Builder
A"
"372","Goldman Sachs Invest Grade Credit A",0,NA,397866257,"Goldman
Sachs
Invest
Grade
Credit
A"
"373","Goldman Sachs Long Shrt Crdt Strats Inst",3.82,1208.25654450262,193662224,"Goldman
Sachs
Long
Shrt
Crdt
Strats
Inst"
"374","Goldman Sachs Multi-Manager Alts A",4.14,2202.08212560387,808703741,"Goldman
Sachs
Multi-Manager
Alts
A"
"375","Goldman Sachs Short Duration Inc A",0.84,1723.57142857143,355488806,"Goldman
Sachs
Short
Duration
Inc
A"
"376","Goldman Sachs Strategic Income A",1.23,1744.49593495935,16171234272,"Goldman
Sachs
Strategic
Income
A"
"377","Granite Harbor Alternative Investor",0.43,18445.3488372093,27236434,"Granite
Harbor
Alternative
Investor"
"378","Granite Harbor Tactical Investor",0.27,18593.5185185185,23851278,"Granite
Harbor
Tactical
Investor"
"379","Great Lakes Bond Institutional",0,NA,82954094,"Great
Lakes
Bond
Institutional"
"380","Great-West Bond Index Init",0.3,817,1078255922,"Great-West
Bond
Index
Init"
"381","Great-West Federated Bond Init",1.18,1921.60169491525,405405665,"Great-West
Federated
Bond
Init"
"382","Great-West Loomis Sayles Bond Init",3.17,2710.81388012618,628537826,"Great-West
Loomis
Sayles
Bond
Init"
"383","Great-West Putnam High Yield Bond Init",7.51,3027.80958721704,272667974,"Great-West
Putnam
High
Yield
Bond
Init"
"384","Great-West Short Duration Bond Init",1.21,989,169999919,"Great-West
Short
Duration
Bond
Init"
"385","Great-West US Govt Mortg Sec Init",0.35,989,291062652,"Great-West
US
Govt
Mortg
Sec
Init"
"386","Greenspring",0.32,777,294592285,"Greenspring"
"387","Guggenheim Floating Rate Strats A",1.32,2160.94696969697,1905914708,"Guggenheim
Floating
Rate
Strats
A"
"388","Guggenheim High Yield A",8.71,2181.47876004592,177836221,"Guggenheim
High
Yield
A"
"389","Guggenheim Investment Grade Bond A",0.01,874,159115326,"Guggenheim
Investment
Grade
Bond
A"
"390","Guggenheim Limited Duration A",0.06,447,459653289,"Guggenheim
Limited
Duration
A"
"391","Guggenheim Macro Opportunities A",0.57,1716.22807017544,3220608005,"Guggenheim
Macro
Opportunities
A"
"392","Guggenheim Total Return Bond A",0.07,2296,2311370331,"Guggenheim
Total
Return
Bond
A"
"393","GuideMark® Core Fixed Income Service",0.08,681.875,241454920,"GuideMark®
Core
Fixed
Income
Service"
"394","GuideMark® Opportunistic Fixed Inc Svc",1.54,1979.15584415584,98417576,"GuideMark®
Opportunistic
Fixed
Inc
Svc"
"395","GuideStone Funds Extended-Dur Bd Instl",0.27,1356.62962962963,253918709,"GuideStone
Funds
Extended-Dur
Bd
Instl"
"396","GuideStone Funds Global Bond Investor",4.44,1730.19369369369,395754203,"GuideStone
Funds
Global
Bond
Investor"
"397","GuideStone Funds Low-Duration Bond Instl",0.05,693.8,1225825577,"GuideStone
Funds
Low-Duration
Bond
Instl"
"398","GuideStone Funds Medium-Dur Bd Instl",0.27,1342.37037037037,782173467,"GuideStone
Funds
Medium-Dur
Bd
Instl"
"399","Hancock Horizon Core Bond A",0.12,3578.75,232863571,"Hancock
Horizon
Core
Bond
A"
"400","Hancock Horizon Diversified Income A",1.19,3675.9243697479,49538453,"Hancock
Horizon
Diversified
Income
A"
"401","Harbor High-Yield Bond Instl",7.38,1725.61653116531,1482056503,"Harbor
High-Yield
Bond
Instl"
"402","Hartford Balanced A",0.08,1081,771516415,"Hartford
Balanced
A"
"403","Hartford Balanced HLS IA",0.1,1081,2409773826,"Hartford
Balanced
HLS
IA"
"404","Hartford Balanced Income A",0.53,1062.07547169811,6847159382,"Hartford
Balanced
Income
A"
"405","Hartford Emerging Markets Local Debt A",0.22,1143,143439882,"Hartford
Emerging
Markets
Local
Debt
A"
"406","Hartford Floating Rate A",0.13,2324.92307692308,3904489537,"Hartford
Floating
Rate
A"
"407","Hartford Floating Rate High Inc A",0.31,2284.61290322581,281757977,"Hartford
Floating
Rate
High
Inc
A"
"408","Hartford Global All-Asset A",0.32,1111.65625,405618702,"Hartford
Global
All-Asset
A"
"409","Hartford High Yield A",8.04,1141.09577114428,293960340,"Hartford
High
Yield
A"
"410","Hartford High Yield HLS IA",8.19,1121.03174603175,311530518,"Hartford
High
Yield
HLS
IA"
"411","Hartford Multi-Asset Income A",0.8,973.425,61481211,"Hartford
Multi-Asset
Income
A"
"412","Hartford Short Duration A",0.11,2160,904123370,"Hartford
Short
Duration
A"
"413","Hartford Strategic Income A",0.73,920.246575342466,492434725,"Hartford
Strategic
Income
A"
"414","Hartford Total Return Bond A",0.33,1103.87878787879,2447252307,"Hartford
Total
Return
Bond
A"
"415","Hartford Total Return Bond HLS IA",0.33,1098.42424242424,3692567519,"Hartford
Total
Return
Bond
HLS
IA"
"416","Hartford Unconstrained Bond A",0.56,938.946428571429,95510742,"Hartford
Unconstrained
Bond
A"
"417","Hartford World Bond A",0.28,1409.42857142857,3404765249,"Hartford
World
Bond
A"
"418","Henderson High Yield Opportunities A",4.01,664.304239401496,27224165,"Henderson
High
Yield
Opportunities
A"
"419","Hennessy Equity and Income Institutional",0.3,767,443332814,"Hennessy
Equity
and
Income
Institutional"
"420","Highland Fixed Income A",0.65,3934.95384615385,133893889,"Highland
Fixed
Income
A"
"421","Highland Floating Rate Opportunities A",1.26,5632.1746031746,739082200,"Highland
Floating
Rate
Opportunities
A"
"422","Highland Global Allocation A",1.52,3292.58552631579,1401738447,"Highland
Global
Allocation
A"
"423","Highland Opportunistic Credit Z",3.77,3581,96668087,"Highland
Opportunistic
Credit
Z"
"424","Hotchkis & Wiley Capital Income I",5.2,3145.05769230769,42399107,"Hotchkis
&
Wiley
Capital
Income
I"
"425","Hotchkis & Wiley High Yield I",13.51,2246.01998519615,2093087478,"Hotchkis
&
Wiley
High
Yield
I"
"426","Hotchkis & Wiley Value Opps A",3.87,3657.53488372093,514264662,"Hotchkis
&
Wiley
Value
Opps
A"
"427","HSBC Global High Income Bond Retail",9.66,1082.06107660455,4922806,"HSBC
Global
High
Income
Bond
Retail"
"428","HSBC Global High Yield Bond A",11.04,1564.71195652174,17248307,"HSBC
Global
High
Yield
Bond
A"
"429","ICON Bond C",1.48,1129.86486486487,83987390,"ICON
Bond
C"
"430","ICON Equity Income C",0.74,3208.67567567568,42845340,"ICON
Equity
Income
C"
"431","ICON Risk-Managed Balanced C",0.6,1068.66666666667,52953509,"ICON
Risk-Managed
Balanced
C"
"432","IMS Strategic Income",15.64,6412.36061381074,10583165,"IMS
Strategic
Income"
"433","Insight Investment Grade Bond Instl",1.37,491.503649635037,38030807,"Insight
Investment
Grade
Bond
Instl"
"434","Integrity High Income A",6.41,2787.86583463339,28935261,"Integrity
High
Income
A"
"435","Intrepid Capital",3.6,1151.425,282265723,"Intrepid
Capital"
"436","Intrepid Income Instl",6.67,1456.47076461769,78746463,"Intrepid
Income
Instl"
"437","Invesco Core Plus Bond A",0.23,953.608695652174,1162730198,"Invesco
Core
Plus
Bond
A"
"438","Invesco Corporate Bond A",1.26,938.253968253968,1015343187,"Invesco
Corporate
Bond
A"
"439","Invesco Equity and Income A",0.03,1369,13129190686,"Invesco
Equity
and
Income
A"
"440","Invesco Floating Rate A",0.28,5632.64285714286,1908821695,"Invesco
Floating
Rate
A"
"441","Invesco High Yield A",6.9,1150.50144927536,1195714945,"Invesco
High
Yield
A"
"442","Invesco International Total Return A",0.96,1352.75,50821148,"Invesco
International
Total
Return
A"
"443","Invesco Premium Income A",0.84,1057.03571428571,200173094,"Invesco
Premium
Income
A"
"444","Invesco Short Term Bond C",0.43,755,1018103463,"Invesco
Short
Term
Bond
C"
"445","Invesco Strategic Real Return A",1.48,1091.81756756757,15884533,"Invesco
Strategic
Real
Return
A"
"446","IVA Worldwide A",0.09,1150,8760984277,"IVA
Worldwide
A"
"447","Ivy Apollo Multi-Asset Income A",1.26,1252.28571428571,109762160,"Ivy
Apollo
Multi-Asset
Income
A"
"448","Ivy Apollo Strategic Income A",2.14,1333.97663551402,114802004,"Ivy
Apollo
Strategic
Income
A"
"449","Ivy Bond A",1.78,859.668539325843,750728605,"Ivy
Bond
A"
"450","Ivy Global Bond A",0.24,3831.66666666667,193494700,"Ivy
Global
Bond
A"
"451","Ivy Global Income Allocation A",0.62,690,787312667,"Ivy
Global
Income
Allocation
A"
"452","Ivy High Income C",3.69,2252.81029810298,5153060601,"Ivy
High
Income
C"
"453","Janus Aspen Balanced Instl",0.2,1229.05,2274757608,"Janus
Aspen
Balanced
Instl"
"454","Janus Aspen Flexible Bond Instl",0.46,1197.36956521739,658288345,"Janus
Aspen
Flexible
Bond
Instl"
"455","Janus Balanced D",0.2,1229.05,13331011612,"Janus
Balanced
D"
"456","Janus Flexible Bond D",0.47,1217.65957446809,9112494900,"Janus
Flexible
Bond
D"
"457","Janus Global Bond A",0.05,738,272480923,"Janus
Global
Bond
A"
"458","Janus Global Unconstrained Bond A",0.11,704.636363636364,2222832208,"Janus
Global
Unconstrained
Bond
A"
"459","Janus High-Yield D",5.23,925.841300191205,1904906288,"Janus
High-Yield
D"
"460","Janus Multi-Sector Income A",0.59,927,40516768,"Janus
Multi-Sector
Income
A"
"461","Janus Real Return A",3.16,693.417721518987,17321700,"Janus
Real
Return
A"
"462","Janus Short-Term Bond D",0,NA,2551178185,"Janus
Short-Term
Bond
D"
"463","JHancock Balanced A",0.33,1131.9696969697,1609699820,"JHancock
Balanced
A"
"464","JHancock Bond A",0.83,1168.90361445783,3178409203,"JHancock
Bond
A"
"465","JHancock Core High Yield A",6.23,4113.16853932584,553350304,"JHancock
Core
High
Yield
A"
"466","JHancock Diversified Strategies A",0.66,1125.84848484848,30728736,"JHancock
Diversified
Strategies
A"
"467","JHancock Floating Rate Income A",1.8,2281.15555555556,2569077600,"JHancock
Floating
Rate
Income
A"
"468","JHancock Focused High Yield B",5.27,3221.65654648956,617958704,"JHancock
Focused
High
Yield
B"
"469","JHancock Global Absolute Ret Strats I",0.04,716,11389039796,"JHancock
Global
Absolute
Ret
Strats
I"
"470","JHancock Global Income A",3.12,3913.26282051282,401040921,"JHancock
Global
Income
A"
"471","JHancock Global Short Duration Crdt NAV",3.05,2602.66557377049,303317772,"JHancock
Global
Short
Duration
Crdt
NAV"
"472","JHancock Investment Grade Bond A",0.37,835.189189189189,401883185,"JHancock
Investment
Grade
Bond
A"
"473","JHancock Short Duration Credit Opps A",1.3,2826.7,1054084788,"JHancock
Short
Duration
Credit
Opps
A"
"474","JHancock Spectrum Income NAV",1.33,1366.33834586466,904201226,"JHancock
Spectrum
Income
NAV"
"475","JHancock Strategic Income Opps NAV",0.16,1132,5332072317,"JHancock
Strategic
Income
Opps
NAV"
"476","JHFunds2 Active Bond 1",0.57,1073.73684210526,1868410893,"JHFunds2
Active
Bond
1"
"477","JHFunds2 Capital Appreciation Value NAV",2.5,574.748,1972966288,"JHFunds2
Capital
Appreciation
Value
NAV"
"478","JHFunds2 Core Bond NAV",0.11,709,1273826632,"JHFunds2
Core
Bond
NAV"
"479","JHFunds2 High Yield 1",10.12,2146.81818181818,490344740,"JHFunds2
High
Yield
1"
"480","JHFunds2 Invest Quality Bond 1",0.34,1034.29411764706,690839124,"JHFunds2
Invest
Quality
Bond
1"
"481","JHFunds2 Real Return Bond 1",0.07,3376.71428571429,648450168,"JHFunds2
Real
Return
Bond
1"
"482","JHFunds2 Total Return NAV",0.14,3625.85714285714,1079720214,"JHFunds2
Total
Return
NAV"
"483","JHFunds2 US High Yield Bd 1",14.83,1425.35873229939,295040085,"JHFunds2
US
High
Yield
Bd
1"
"484","JNL Multi-Manager Alternative A",1.05,1774.49523809524,575339636,"JNL
Multi-Manager
Alternative
A"
"485","JNL/BlackRock Global Allocation A",0.04,1020.75,3657608825,"JNL/BlackRock
Global
Allocation
A"
"486","JNL/Capital Guardian Global Balanced A",0.03,853,458959988,"JNL/Capital
Guardian
Global
Balanced
A"
"487","JNL/Franklin Templeton Glbl Mltsctr Bd A",0.47,5270.93617021277,1788002526,"JNL/Franklin
Templeton
Glbl
Mltsctr
Bd
A"
"488","JNL/Franklin Templeton Income A",3.14,5535.1050955414,2314570697,"JNL/Franklin
Templeton
Income
A"
"489","JNL/Franklin Templeton Mutual Shares A",0.24,1024,1126220857,"JNL/Franklin
Templeton
Mutual
Shares
A"
"490","JNL/Goldman Sachs Core Plus Bond A",0.24,1377.75,1563156086,"JNL/Goldman
Sachs
Core
Plus
Bond
A"
"491","JNL/Mellon Capital Bond Index A",0.12,743.833333333333,1103028558,"JNL/Mellon
Capital
Bond
Index
A"
"492","JNL/PIMCO Total Return Bond A",0.07,144,3428519726,"JNL/PIMCO
Total
Return
Bond
A"
"493","JNL/PPM America Floating Rate Income A",0.41,2032.82926829268,1496333856,"JNL/PPM
America
Floating
Rate
Income
A"
"494","JNL/PPM America High Yield Bond A",7.78,2797.14138817481,2236778255,"JNL/PPM
America
High
Yield
Bond
A"
"495","JNL/PPM America Strategic Income A",5.21,2241.36084452975,83518372,"JNL/PPM
America
Strategic
Income
A"
"496","JNL/PPM America Total Return A",2.61,2042.63218390805,877948320,"JNL/PPM
America
Total
Return
A"
"497","JNL/Scout Unconstrained Bond A",1.43,2148.36363636364,782987495,"JNL/Scout
Unconstrained
Bond
A"
"498","JNL/T. Rowe Price Short-Term Bond A",0.89,952.168539325843,1888517405,"JNL/T.
Rowe
Price
Short-Term
Bond
A"
"499","JNL/WMC Balanced A",0.04,1081,4961236096,"JNL/WMC
Balanced
A"
"500","JPMorgan Core Bond Select",0.1,997.3,28801735136,"JPMorgan
Core
Bond
Select"
"501","JPMorgan Core Plus Bond A",1.54,1832.14285714286,4605725749,"JPMorgan
Core
Plus
Bond
A"
"502","JPMorgan Corporate Bond A",0.23,1198.39130434783,1843551968,"JPMorgan
Corporate
Bond
A"
"503","JPMorgan Diversified Instl",0.05,1222.2,1340794627,"JPMorgan
Diversified
Instl"
"504","JPMorgan Floating Rate Income A",0.62,5585.82258064516,1888734304,"JPMorgan
Floating
Rate
Income
A"
"505","JPMorgan Global Allocation A",0.93,1036.39784946237,1149464301,"JPMorgan
Global
Allocation
A"
"506","JPMorgan Global Bond Opportunities A",0.95,2275.24210526316,1321936969,"JPMorgan
Global
Bond
Opportunities
A"
"507","JPMorgan High Yield A",8.07,1582.94175960347,9000162632,"JPMorgan
High
Yield
A"
"508","JPMorgan Income A",1.87,3399.27272727273,40586239,"JPMorgan
Income
A"
"509","JPMorgan Income Builder A",1.67,1960.52095808383,11550134978,"JPMorgan
Income
Builder
A"
"510","JPMorgan Inflation Managed Bond A",0.15,1145.46666666667,1620348755,"JPMorgan
Inflation
Managed
Bond
A"
"511","JPMorgan Insurance Trust Inc Bldr 1",2.13,1580.4882629108,30090571,"JPMorgan
Insurance
Trust
Inc
Bldr
1"
"512","JPMorgan Short Duration Bond Select",0.18,1136.72222222222,10702198140,"JPMorgan
Short
Duration
Bond
Select"
"513","JPMorgan Short Duration High Yield A",3.3,2104.66666666667,160836605,"JPMorgan
Short
Duration
High
Yield
A"
"514","JPMorgan SmartAllocation Income A",0,NA,150180837,"JPMorgan
SmartAllocation
Income
A"
"515","JPMorgan Strategic Income Opps A",3.5,2674.56857142857,14871418767,"JPMorgan
Strategic
Income
Opps
A"
"516","JPMorgan Tax Aware Income Opp A",1.37,2236.73722627737,386425318,"JPMorgan
Tax
Aware
Income
Opp
A"
"517","JPMorgan Total Return A",1.04,2233.23076923077,592550121,"JPMorgan
Total
Return
A"
"518","JPMorgan Unconstrained Debt A",0.37,5138.27027027027,3430793543,"JPMorgan
Unconstrained
Debt
A"
"519","Kimberlite Fl Rt Hybrd Cptl Fnl Svcs Inv",2.8,19771.1857142857,1100280,"Kimberlite
Fl
Rt
Hybrd
Cptl
Fnl
Svcs
Inv"
"520","Kinetics Multi-Disciplinary Inc Adv A",1.69,1268.37869822485,89511094,"Kinetics
Multi-Disciplinary
Inc
Adv
A"
"521","Knights of Columbus Core Bond Instl",0,NA,42173595,"Knights
of
Columbus
Core
Bond
Instl"
"522","KP Fixed Income Institutional",0.23,687.304347826087,989464629,"KP
Fixed
Income
Institutional"
